family,lambda,n,seed,df_used,vol_mult,tail_mult,apply_to,VaR5,ES5,VaR1,ES1,mean,vol
S3_Alternativo_Liquidez_Global,0.5,25000,777,9.0,1.225,1.225,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.033942994167191855,-0.05411982406628705,-0.0669098641304885,-0.08971140109512363,0.0006520872555728647,0.022245226790754573
S3_Alternativo_Liquidez_Global,0.55,25000,777,8.9,1.2475,1.2475,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.03499540034529783,-0.05557869713631977,-0.06751708246391804,-0.09278563272881757,0.0006536294435375564,0.022903105572703714
S3_Alternativo_Liquidez_Global,0.6000000000000001,25000,777,8.8,1.27,1.27,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.035905735975882216,-0.056238132366354464,-0.06764392794588049,-0.09337028078826884,0.000637831939269016,0.0235104520225023
S3_Alternativo_Liquidez_Global,0.65,25000,777,8.7,1.2925,1.2925,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.036319979337643395,-0.057581681154657054,-0.07059436591954683,-0.09518001632980219,0.0006655280155409253,0.02392715079304461
S3_Alternativo_Liquidez_Global,0.7000000000000001,25000,777,8.6,1.315,1.315,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.03768475113621612,-0.06059851440679214,-0.07558629473994836,-0.10169396953950621,0.0006259728718625469,0.024959318131093054
S3_Alternativo_Liquidez_Global,0.75,25000,777,8.5,1.3375,1.3375,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.03880340765323988,-0.06258621745780886,-0.0770191091691524,-0.10735906803788722,0.0005432568445944169,0.02552170269406521
S3_Alternativo_Liquidez_Global,0.8,25000,777,8.4,1.3599999999999999,1.3599999999999999,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.03989353419097476,-0.06465932816259166,-0.07982881193960464,-0.1115147289828748,0.0005041685111785026,0.026237850837705606
S3_Alternativo_Liquidez_Global,0.8500000000000001,25000,777,8.3,1.3825,1.3825,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.04101602499179914,-0.06676164281014478,-0.0831188826592439,-0.11576678121377533,0.0004646187294548047,0.02696280203062205
S3_Alternativo_Liquidez_Global,0.9,25000,777,8.2,1.4049999999999998,1.4049999999999998,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.041724427988467795,-0.07056494277072223,-0.08834645585034341,-0.12249613735726546,0.00034557384717646343,0.02781621187146761
S3_Alternativo_Liquidez_Global,0.9500000000000001,25000,777,8.1,1.4274999999999998,1.4274999999999998,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.04234826816948251,-0.07100857940877654,-0.08714732168984589,-0.11983250024267876,0.0004078388368304124,0.028394167967402035
S3_Alternativo_Liquidez_Global,1.0,25000,777,8.0,1.45,1.45,"AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG",-0.04335134808011212,-0.07329020787566895,-0.09057793263648826,-0.12442121499793952,0.0003629917125809257,0.02916334027700766
